district	Indicator 1 Definition	Indicator 2	province	Continuous 1	Geometry	Latitude (generated)	Longitude (generated)
Khakrez	Number of persons excluding nomadic population (according to official estimates)		Kandahar	23,662.0	Polygon	32.022810563	65.453243233
Khak-e-Safed	Number of persons excluding nomadic population (according to official estimates)		Farah	31,468.0	Polygon	32.749550702	62.103716619
Khak-e-Jabar	Number of persons excluding nomadic population (according to official estimates)		Kabul	14,880.0	Polygon	34.340499870	69.416240248
Khader	Number of persons excluding nomadic population (according to official estimates)		Daykundi	48,423.0	Polygon	33.866088546	65.787182967
keti	Number of persons excluding nomadic population (according to official estimates)		Daykundi	34,762.0	Polygon	33.530459827	65.747660260
Keshem	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	83,916.0	Polygon	36.748309872	70.127355494
Karukh	Number of persons excluding nomadic population (according to official estimates)		Hirat	66,416.0	Polygon	34.483692085	62.656586714
Kang	Number of persons excluding nomadic population (according to official estimates)		Nemroz	23,297.0	Polygon	31.335316175	61.782130592
Kandahar	Number of persons excluding nomadic population (according to official estimates)		Kandahar	548,645.0	Polygon	31.518012080	65.697431325
Kamdesh	Number of persons excluding nomadic population (according to official estimates)		Noristan	26,224.0	Polygon	35.470782908	71.312139451
Kama	Number of persons excluding nomadic population (according to official estimates)		Nangarhar	79,769.0	Polygon	34.446775904	70.681279902
Kaldar	Number of persons excluding nomadic population (according to official estimates)		Balkh	20,736.0	Polygon	37.111493648	67.520117601
